Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
The Cat from Outer Space,1980-02-12,"Three scientists help an Alien feline, stranded on Earth, to repair its damaged spacecraft in order to return home but their efforts are hampered by inept army officials and foreign spies.",6,5532,M/6,"Comedy,Family,Sci-Fi","cat,human alien relationship,talking cat,alien,cat movie"
The Christian Licorice Store,,,5.2,121,R,"Drama,Comedy","tennis match,photographer,locker room,party,reporter"
Princess Charming,1934-08-20,"Revolution breaks out in a small European kingdom, and a young princess is forced to flee for her life. She heads for the neighboring country, which just happens to be ruled by the king she is betrothed to. Unfortunately, the new ...",6.5,47,Approved,"Comedy,Drama,Music","character name as title,nickname as title,princess charming character,b movie,lie"
Theatre of Death,1968-08-26,,5.7,774,Not Rated,"Horror,Mystery,Thriller","psychotronic film,vampire,theater,tape recorder,stabbed in the neck"
How to Be a Latin Lover,2017-04-28,,6,16788,PG-13,"Comedy,Drama","eye bandage,toy motorcycle,arm in a sling,yelling,computer"
Go West Young Man,1936-11-18,"A movie star, stranded in the country, trifles with a young man&apos;s affections.",6.3,723,Approved,Comedy,"camp,f rated,four word title,cardinal direction in title,film in film"
"20,000 Years in Sing Sing",1934-05-25,,6.8,2824,Passed,"Crime,Drama,Film-Noir","train,handcuffs,american flag,car,reporter"
The Sunshine Boys,1979-10-31,,7.1,6445,PG,Comedy,"1970s,reference to sophie tucker,reference to the george washington bridge,reference to bob hope,reference to lucille ball"
Meteor,1980-01-18,,5,7615,PG,"Action,Drama,Sci-Fi","international cooperation,asteroid,meteor,nuclear weapon,nasa"
Paura nella città dei morti viventi,1982-06-24,"A reporter and a psychic race to close the Gates of Hell after the suicide of a clergyman caused them to open, allowing the dead to rise from their graves.",6.2,18278,M/18,Horror,"drill through head,bleeding from the eyes,zombie,suicide,sex doll"
The Devil&apos;s Brigade,1969-01-23,A US Army Colonel is tasked with forming an elite commando-style unit from crack Canadian troops and the dregs of the US Army.,6.7,5875,Approved,"Action,Drama,War","canadian army,commando,commando mission,italian campaign,world war two"
Forbidden Games,1995-01-01,"When the head of a prominent modeling agency dies under suspicious circumstances, there are more than enough likely suspects - but no evidence. Michael Brandon, ex-Justice Department golden boy now on the skids, is hired to find t...",4.3,300,R,"Crime,Drama,Thriller","female rear nudity,female frontal nudity,barefoot female,female full frontal nudity,psychic"
The Devil at 4 O&apos;Clock,1961-10-18,,6.3,2397,Approved,"Adventure,Drama,Thriller","island,convict,volcano,leper colony,priest"
"Goodbye, Mr. Chips",2021-11-14,"Mr. Chips, an aged teacher, recounts his story of love, loss and learning over his decades-long tenure at Brookfield, an all-boys English boarding school.",,,,Musical,opera
The Last Picture Show: A Look Back,,,7.2,150,,Documentary,"texas,small town,making of,interview,high school"
Jungle Goddess,1948-08-13,"When a plane carrying the daughter of a millionaire crashes in an African jungle, two pilots set out to collect the reward. They discover that she has become the goddess of a primitive tribe. An insurgent witch doctor and fierce w...",2.2,822,Approved,"Action,Adventure,Crime","psychotronic film,intruder,white jungle girl,jungle girl,airplane crash"
Ziegfeld Follies,1948-02-07,,6.4,3441,Approved,"Comedy,Musical","revue,ziegfeld follies,ensemble cast,dancing girl,water lily"
